rest_name,cuisine,hours,good_for,location,address
Bijan Restaurant,"Indonesian, Malaysian, Seafood, Local, Southeast Asian, Peranakan, Halal Certified, Modern Asian                                          ",Tue-Fri: 12-9:30pmSat-Sun & PH: 12-10:30pmClosed Monday                    ,"Business Meetings, Casual Dining, Kid Friendly, Private Functions, Quiet Dinner, Romantic Dates",Paya Lebar,"511 Guillemard Road#B1-02/09Grandlink SquareSingapore (399849)"
Copper Chimney (Marina Bay Financial Center),"Indian, Vegetarian Friendly, Halal Certified                                          ",Mon-Fri: 8am-8pmClosed Saturday & Sunday                    ,"Business Meetings, Casual Dining, Kid Friendly, Private Functions, Large Parties (16+)",Marina Bay,"12 Marina Boulevard#02-01Marina Bay Financial Centre Tower 3Singapore (018982)"
Cucina Restaurant & Catering,"Fusion, Halal Certified                                          ","Mon-Sun: 11:30am-3pm, 5-9pm                    ","Business Meetings, Casual Dining, Private Functions, Large Parties (16+)",Kallang,12 Kallang Avenue#02-10Aperia MallSingapore (339511)
Monster Planet (Causeway Point),"Japanese, Halal Certified                                          ",Mon-Sun: 11am-10pm                    ,"Casual Dining, Kid Friendly",Woodlands,1 Woodlands Square#05-13Causeway PointSingapore (738099)
Monster Planet (Jem),"Japanese, Halal Certified                                          ",Mon-Sun: 11am-10pm                    ,"Casual Dining, Kid Friendly",Jurong,50 Jurong Gateway Road#01-07 JemSingapore (608549)
Monster Planet (Paya Lebar Square),"Japanese, Halal Certified                                          ",Mon-Sun: 11am-10pm                    ,"Casual Dining, Kid Friendly",Paya Lebar,60 Paya Lebar Road#01-57Paya Lebar SquareSingapore (409051)
Monster Planet (The Centrepoint),"Japanese, Halal Certified                                          ",Mon-Sun: 11am-10pm                    ,"Casual Dining, Kid Friendly",Orchard,176 Orchard Road#01-33C/DThe Centre PointSingapore (238843)
The Buffet at M Hotel,"Buffet, International, Seafood, Vegetarian Friendly, Steamboat                                          ","Mon-Sun: 12-2:30pm, 6-10pm                    ","Business Meetings, Casual Dining, Private Functions, Quiet Dinner, Large Parties (16+)",Tanjong Pagar,81 Anson RoadM HotelSingapore (079908)
Copper Chimney (Syed Alwi),"Indian, Vegetarian Friendly                                          ",Mon-Sun: 11:30am-11:30pm                    ,"Business Meetings, Casual Dining, Private Functions, Large Parties (16+)",Jalan Besar,100 Syed Alwi RoadSingapore (207676)
The Ramen Stall,"Japanese, Fusion                                          ",Mon-Thu: 11am-11pmFri-Sat: 11-2amSun: 11am-11pm                    ,"Casual Dining, Kid Friendly",Bugis,787 North Bridge RoadSingapore (198755)
Asian Market Cafe,"Buffet, Malaysian, Fusion, International, Seafood, Vegetarian Friendly, Local, Southeast Asian, Halal Certified                                          ","Mon, Thu & Fri: 12-2:30pm, 6-10pmSat-Sun: 12-4pm, 6-10pm Closed Tuesday & Wednesday                    ","Casual Dining, Kid Friendly",City Hall,80 Bras Basah RoadLevel 2Fairmont SingaporeSingapore (189560)
665°F,Steakhouse                                          ,"Mon-Sat: 12-2:30pm, 6-10:30pmSun: 6-10:30pm                    ","Business Meetings, City Views, Fine Dining, Casual Dining, Private Functions, Quiet Dinner, Romantic Dates",Bugis,5 Fraser StreetLevel 38Andaz SingaporeSingapore (189354)
Cappadocia Turkish Restaurant,"Middle Eastern, Seafood, Vegetarian Friendly, Halal Certified, Turkish                                          ",Mon-Sun: 11am-11:30pm                    ,"Al Fresco, Business Meetings, City Views, Fine Dining, Casual Dining, Kid Friendly, Drinks, Pet Friendly, Private Functions, Quiet Dinner, Romantic Dates, Large Parties (16+)",Bugis,69 & 70 Bussorah StreetSingapore (199482)
Squisito,"Italian, Halal Certified                                          ","Mon-Fri: 11:30am-3pm, 5:30-10pmSat-Sun: 11:30am-10pm                    ","Casual Dining, Kid Friendly",Bugis,28 Bali LaneSingapore (189864)
The White Label,"French, Cafe                                          ",Mon-Thu & Sun: 11:30am-10pmFri-Sat: 11:30am-10:30pm                    ,"Business Meetings, Casual Dining, Kid Friendly, Private Functions, Quiet Dinner, Romantic Dates",Bugis,734 North Bridge RoadSingapore (198702)
Positano Risto,"Italian, Vegetarian Friendly                                          ",Sun-Thu: 11:30am-10pmFri: 11:30am-11pmSat: 11:30am-12am                    ,"Casual Dining, Kid Friendly, Quiet Dinner",Bugis,66 Bussorah StreetSingapore (199479)
The Fortune Cookie,"Chinese, Fusion, Local, Southeast Asian                                          ",Mon-Sun: 11am-11pm (Last Order: 10:30pm)                    ,"Business Meetings, Casual Dining, Kid Friendly, Private Functions, Romantic Dates",Bugis,11 Bussorah StreetSingapore (199432)
The Malayan Council (Bussorah Street),Cafe                                          ,Mon-Sun: 11am-11pm                    ,"Casual Dining, Private Functions, Quiet Dinner",Bugis,71 Bussorah StreetSingapore (199484)
The Malayan Council (Dunlop),"Fusion, Vegetarian Friendly, Cafe                                          ",Mon-Sun: 11am-11pm                    ,Casual Dining,Jalan Besar,22 Dunlop StreetSingapore (209350)
The Malayan Council (Winstedt),"Fusion, Vegetarian Friendly                                          ",Mon-Sun: 11am-11pm                    ,"Al Fresco, Business Meetings, Private Functions",Newton,10 Winstedt Road#01-27Singapore (227977)
The Dim Sum Place (Bugis),"Chinese, Local, Dim Sum                                          ",Mon-Thu: 11am-11pmFri-Sat: 11am-2amSun: 11am-11pm                    ,"Casual Dining, Kid Friendly, Large Parties (16+)",Bugis,791 North Bridge RoadSingapore (198759)
Noosh Noodle Bar and Grill,"Fusion, Local, Cafe                                          ",Mon-Sun: 12-10pm ,"Casual Dining, Kid Friendly, Quiet Dinner, Romantic Dates","Promenade, Esplanade, Marina Central",8 Raffles Avenue#01-13BEsplanade MallSingapore (039802)
Permata Singapore,"Buffet, Indonesian, Malaysian, Local, Southeast Asian, Peranakan                                          ","Mon-Sun: 12-3pm, 6-10pm                    ","Al Fresco, Casual Dining, Kid Friendly, Romantic Dates",Bugis,73 Sultan Gate Gedung KuningSingapore (198497)
I am... (Haji Lane),"Cafe, Burgers                                          ",Mon-Thu: 9am-11pmFri: 9am-1amSat: 8am-1amSun: 8am-10pm                    ,"Casual Dining, Kid Friendly, Private Functions",Bugis,"674 North Bridge Road#01-01Singapore (188804)"
